99
Level,HP,Attack,Deffence,Doge,Concentlate
1,100,1,0.01,74.5,100
2,110,1.1,0.0104,74.75,105
3,120,1.2,0.0108,75,110
4,130,1.3,0.0112,75.25,115
5,140,1.4,0.0116,75.5,120
6,150,1.5,0.012,75.75,125
7,160,1.7,0.0124,76,130
8,170,1.9,0.0128,76.25,135
9,180,2.1,0.0132,76.5,140
10,190,2.3,0.0137,76.75,145
11,200,2.5,0.0142,77,150
12,210,2.8,0.0147,77.25,155
13,220,3.1,0.0152,77.5,160
14,230,3.4,0.0157,77.75,165
15,240,3.7,0.0162,78,170
16,250,4.1,0.0168,78.25,175
17,260,4.5,0.0174,78.5,180
18,270,5,0.018,78.75,185
19,280,5.5,0.0186,79,190
20,290,6.1,0.0193,79.25,195
21,300,6.7,0.02,79.5,200
22,310,7.4,0.0207,79.75,205
23,320,8.1,0.0214,80,210
24,330,8.9,0.0221,80.25,215
25,340,9.8,0.0229,80.5,220
26,350,10.8,0.0237,80.75,225
27,360,11.9,0.0245,81,230
28,370,13.1,0.0254,81.25,235
29,380,14.4,0.0263,81.5,240
30,390,15.8,0.0272,81.75,245
31,400,17.4,0.0282,82,250
32,410,19.1,0.0292,82.25,255
33,420,21,0.0302,82.5,260
34,430,23.1,0.0313,82.75,265
35,440,25.4,0.0324,83,270
36,450,27.9,0.0335,83.25,275
37,460,30.7,0.0347,83.5,280
38,470,33.8,0.0359,83.75,285
39,480,37.2,0.0372,84,290
40,490,40.9,0.0385,84.25,295
41,500,45,0.0398,84.5,300
42,510,49.5,0.0412,84.75,305
43,520,54.5,0.0426,85,310
44,530,60,0.0441,85.25,315
45,540,66,0.0456,85.5,320
46,550,72.6,0.0472,85.75,325
47,560,79.9,0.0489,86,330
48,570,87.9,0.0506,86.25,335
49,580,96.7,0.0524,86.5,340
50,590,106.4,0.0542,86.75,345
51,600,117,0.0561,87,350
52,610,128.7,0.0581,87.25,355
53,620,141.6,0.0601,87.5,360
54,630,155.8,0.0622,87.75,365
55,640,171.4,0.0644,88,370
56,650,188.5,0.0667,88.25,375
57,660,207.4,0.069,88.5,380
58,670,228.1,0.0714,88.75,385
59,680,250.9,0.0739,89,390
60,690,276,0.0765,89.25,395
61,700,303.6,0.0792,89.5,400
62,710,334,0.082,89.75,405
63,720,367.4,0.0849,90,410
64,730,404.1,0.0879,90.25,415
65,740,444.5,0.091,90.5,420
66,750,489,0.0942,90.75,425
67,760,537.9,0.0975,91,430
68,770,591.7,0.1009,91.25,435
69,780,650.9,0.1044,91.5,440
70,790,716,0.1081,91.75,445
71,800,787.6,0.1119,92,450
72,810,866.4,0.1158,92.25,455
73,820,953,0.1199,92.5,460
74,830,1048.3,0.1241,92.75,465
75,840,1153.1,0.1284,93,470
76,850,1268.4,0.1329,93.25,475
77,860,1395.2,0.1376,93.5,480
78,870,1534.7,0.1424,93.75,485
79,880,1688.2,0.1474,94,490
80,890,1857,0.1526,94.25,495
81,900,2042.7,0.1579,94.5,500
82,910,2247,0.1634,94.75,505
83,920,2471.7,0.1691,95,510
84,930,2718.9,0.175,95.25,515
85,940,2990.8,0.1811,95.5,520
86,950,3289.9,0.1874,95.75,525
87,960,3618.9,0.194,96,530
88,970,3980.8,0.2008,96.25,535
89,980,4378.9,0.2078,96.5,540
90,990,4816.8,0.2151,96.75,545
91,1000,5298.5,0.2226,97,550
92,1010,5828.4,0.2304,97.25,555
93,1020,6411.2,0.2385,97.5,560
94,1030,7052.3,0.2468,97.75,565
95,1040,7757.5,0.2554,98,570
96,1050,8533.3,0.2643,98.25,575
97,1060,9386.6,0.2736,98.5,580
98,1070,10325.3,0.2832,98.75,585
99,1080,11357.8,0.2931,99,590
